NO;Do you teach? ;Have you incorporated Open Science into your teaching prior to attending this colloquium? ;How have you incorporated Open Science into your teaching prior to attending this colloquium? ;Given what we have discussed in this colloquium so far, how might you incorporate Open Science into your teaching in the future?;Do you supervise MSc-students, PhD-Students and/or postdoctoral researchers?;Have you incorporated Open Science into your supervision prior to attending this colloquium?;How have you incorporated Open Science into your supervision (of MSc- and PhD-students, postdocs) prior to this colloquium?;Given what we have discussed in this colloquium so far, how might you incorporate Open Science into your supervision in the future?;Have you encountered open science practices in your own formal education (i.e. undergraduate or postgraduate) experience?;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Used open-access online interactive learning resources (e.g., games, tutorials);Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Read open-access literature / material (e.g. papers, textbooks);Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Used open data ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Used open code ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Shared own data openly;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Shared own code openly ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Published results or papers openly ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Been taught principles of research transparency ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Been taught principles of research reproducibility;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Open peer review;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Outreach/ science communication;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - None of the above;Are there any open science practices that you have encountered in your education that are not listed above? If so, please describe. ;E-post;Samlet status - Ny;Samlet status - Distribuert;Samlet status - Noen svar;Samlet status - Gjennomført;Samlet status - Frafalt
23;Yes;Yes;"<p>I teach ecology lab with the &quot;Teaching Integrity in Empirical Science&quot; Protocol (TIER Protocol), which I was taught by some American professors. The idea is that students are taught a reproducible workflow and use it to follow a research project from beginning to end, archiving data and code on Open Science Framework (OSF), and eventually presenting the results. They use R and RStudio, and share code with classmates, and do version control through OSF. I also use open science methods whenever I teach research methods in other classes.</p>";<p>Teaching preregistration and teaching open peer review. Talking about paywalls and accessibility, and talking about FAIR data.</p>;No;;;"<p>All of the same as teaching undergraduates, with the edition of how to better document code and write read me files that can be used to archive data.&nbsp;</p>";Yes;1;1;0;1;1;1;1;1;1;0;1;0;<p>Meta-analysis methods and secondary analyses</p>;;0;0;0;1;0
90;Yes;Yes;<p>Briefly mentioning aspects of OS in lectures.</p>;<p>More hands on, less handwaiving</p>;Yes;Yes;<p>Practical guidance on workflow etc..</p>;<p>Practical guidance on workflow etc..</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
76;Yes;Yes;<p>Not explicitly, but we use open data, and open source software. We encourage students to use google to get help with problems (this is open science, right?).</p>;<p>I will need to think about this! We might have to work more on documentation of code (I am teaching statistics, so only one end of the scientific process).</p>;Yes;Yes;<p>Encouraged use of making code available, and preprints and OA.</p>;<p>I should probably be more explicit about open science, and work out how to embed the ideas in our research.</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
21;Yes;Yes;<p>- use of open data accessed through GBIF for exercises</p><p>- required sharing of code for assignments and discussion of the fact that this is similar to the practice of code sharing in real scientific research</p><p>- use of open source platforms, primarily R and QGIS, and discussion of the benefits of open source software</p>;"<p>- more explicit discussions of how the field of open science has developed over time and current best practices</p><p>- I&#39;m sure there are many more great ways to incorporate open science in teaching but I&#39;m coming up a little empty after a long productive day of thinking today :) looking forward to discussing tomorrow, though</p>";Yes;Yes;<p>- primarily through encouraging open sharing of data and code</p>;<p>- preregistration!</p>;Yes;1;1;1;1;1;0;0;0;1;0;1;0;;;0;0;0;1;0
102;No;;;<p>Strenghten focus not only in data analysis, but also data management and documentation</p>;No;;;<p>Foster a culture of collaboration, openness, generosity, etc.</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
36;Yes;Yes;"<p>Introduced a new lecture on Open Science, FAIR data, open data to the GBIF curriculum for data publication; a curriculum&nbsp;that was originally developed for the African BID program.</p>";"<p>Hands-on exercises for students to perform open science on real data will leave more impact on how students will practice their own science.</p><p>However, we still have some distance left to cover/discover (and thus effective teaching outcomes) for the real transformative change to happen -- which in my opinion is&nbsp;for machine-readable identifiers to gradually replace the human-readable literals and in effect move&nbsp;our domain in a direction towards ultimate (machine) reproducible open science. It is in so many ways hard to imagine the ultimate real progress towards open and reproducible science without stable and persistent machine-readable identifiers.</p>";Yes;Yes;"<p>In&nbsp;my current role, my contribution as a co-supervisor at this level is mostly focused specifically on the open data subset of open science.</p>";"<p>Given the context that open data is already&nbsp;the primary focus of my current (occasional, irregular) contributions to student supervision -- this colloquium would rather assist me to improve the quality of my contributions rather than introducing this as a new topic in any&nbsp;way.</p>";Yes;0;1;1;1;1;1;1;0;1;1;1;0;"<p>Used open teaching materials; shared open teaching materials</p>";;0;0;0;1;0
66;Yes;No;;"<p><span style=""font-size:11pt"">I would love to integrate more about data management and this according to FAIR principles.</span></p>";Yes;No;;<p>again - more datamanegement, supporting use of open data (and experiences the problems of using such) and using the skills to publish data</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
69;Yes;No;;<p>Showing resources for accessing open data and metadata for reviews students in Biodiversity and Conservation class need to write,</p>;Yes;Yes;<p>MSc student is creating a database of time series multi population data and more than half of the data included are open science</p>;;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
80;Yes;No;;"<p>I would like to add sections on this if I had control of topics.&nbsp;</p>";No;;;"<p>I would encourage all students to follow open science frameworks and would host yearly lab meetings on it so they can be informed rather than have to work it all out themselves.&nbsp;</p>";No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
75;Yes;No;;<p>-</p>;No;;;<p>-</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
73;Yes;Yes;<p>I have participated in giving workshops in data management, where making data FAIR is essential</p>;<p>I will maybe focus even more on this in courses that is not about data management in particular. E.g. by adding material about data archiving, common standards to my lectures. Also by making the course material FAIR</p>;Yes;Yes;<p>By having them creating a data management plan that includes description of the use of common standards and how they plan to use deposition databases for the data they produce</p>;<p>I think I will continue to do what I am doing</p>;Yes;0;0;1;1;0;0;1;0;1;0;0;0;<p>The use of common standards, e.g. the use of MIxS</p>;;0;0;0;1;0
29;No;;;;No;;;;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
44;Yes;Yes;<p>- Teaching about open data</p><p>- Teaching about open science</p><p>- Publishing teaching material openly</p>;<p>I will include open science approaches to all teaching situations where this is relevant.</p>;Yes;Yes;<p>- pre-registration</p><p>- open data</p><p>- open code</p>;<p>Yes - I will try to do even more of that!</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
33;No;;;;No;;;;Yes;1;1;1;1;1;1;1;0;0;0;0;0;;;0;0;0;1;0
9;No;;;<p>By making students understand how important it is to work with open data and that it is key to keep openness in science to ensure reproducibility and transparency</p>;No;;;;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
15;No;;;"<p>I do not really teach.&nbsp;</p>";No;;;<p>I do not supervise students either</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
