People define 'Open Science' in many ways, and it is a multi-faceted concept. We are interested in how you define Open Science, especially as it pertains to your own work. Please take a minute to share these thoughts. The more detailed, the better.;What Open Science activities have you engaged in?  - Shared data openly;What Open Science activities have you engaged in?  - Shared code openly;What Open Science activities have you engaged in?  - Shared methods/ protocols openly;What Open Science activities have you engaged in?  - Used open data;What Open Science activities have you engaged in?  - Used open code (includes statistical programming);What Open Science activities have you engaged in?  - Published my papers openly ;What Open Science activities have you engaged in?  - Used open education tools or practices;What Open Science activities have you engaged in?  - Read open papers;What Open Science activities have you engaged in?  - Engaged in open peer review;What Open Science activities have you engaged in?  - Engaged in outreach/ science communication;Other (please specify);What has hindered  you from engaging in Open Science?;What has helped you engage in Open Science?;What motivated you to attend this workshop? ;Which of the following activities are you engaged in? - Research;Which of the following activities are you engaged in? - Teaching;Which of the following activities are you engaged in? - Supervision;Which of the following activities are you engaged in? - None of the above;How important are the following aspects of Open Science to your RESEARCH? - Data sharing;How important are the following aspects of Open Science to your RESEARCH? - Code sharing;How important are the following aspects of Open Science to your RESEARCH? - Methods/ protocols sharing;How important are the following aspects of Open Science to your RESEARCH? - Publishing papers open access ;How important are the following aspects of Open Science to your RESEARCH? - Communicating science through open channels;How important are the following aspects of Open Science to your RESEARCH? - Research Reproducibility;How important are the following aspects of Open Science to your RESEARCH? - Research Transparency;Please feel free to explain your answers to any of the above.;How important are the following aspects of Open Science to your TEACHING? - Data sharing;How important are the following aspects of Open Science to your TEACHING? - Code sharing;How important are the following aspects of Open Science to your TEACHING? - Methods/ protocols sharing;How important are the following aspects of Open Science to your TEACHING? - Publishing papers open access ;How important are the following aspects of Open Science to your TEACHING? - Communicating science through open channels;How important are the following aspects of Open Science to your TEACHING? - Research Reproducibility;How important are the following aspects of Open Science to your TEACHING? - Research Transparency;Please feel free to explain your answers to any of the above.;How important are the following aspects of Open Science to your SUPERVISION (of graduate students and postdocs)? - Data sharing;How important are the following aspects of Open Science to your SUPERVISION (of graduate students and postdocs)? - Code sharing;How important are the following aspects of Open Science to your SUPERVISION (of graduate students and postdocs)? - Methods/ protocols sharing;How important are the following aspects of Open Science to your SUPERVISION (of graduate students and postdocs)? - Publishing papers open access ;How important are the following aspects of Open Science to your SUPERVISION (of graduate students and postdocs)? - Communicating science through open channels;How important are the following aspects of Open Science to your SUPERVISION (of graduate students and postdocs)? - Research Reproducibility;How important are the following aspects of Open Science to your SUPERVISION (of graduate students and postdocs)? - Research Transparency;Please feel free to explain your answers to any of the above.;What is your current affiliation type? Please select all that apply - University;What is your current affiliation type? Please select all that apply - Research institute;What is your current affiliation type? Please select all that apply - Governmental agency;What is your current affiliation type? Please select all that apply - Private company;What is your current affiliation type? Please select all that apply - Other;In which country do you work or study? Please select all that apply.  - Norway;In which country do you work or study? Please select all that apply.  - EU/ EEC;In which country do you work or study? Please select all that apply.  - Non-EU/ EEC;What is your current position? ;What is your highest degree? ;When did you finish your highest degree (year)?;Are you involved in any of the following types of teaching? Please select all that apply. - Undergraduate classes;Are you involved in any of the following types of teaching? Please select all that apply. - Doctoral or masters classes;Are you involved in any of the following types of teaching? Please select all that apply. - Supervising undergraduates;Are you involved in any of the following types of teaching? Please select all that apply. - Supervising doctoral or masters students;Are you involved in any of the following types of teaching? Please select all that apply. - Supervising postdoctoral scholars;Are you involved in any of the following types of teaching? Please select all that apply. - Public outreach;Are you involved in any of the following types of teaching? Please select all that apply. - Other;Are you involved in any of the following academic activities? Please select all that apply. - Primary research;Are you involved in any of the following academic activities? Please select all that apply. - Research synthesis or metaanalyses;Are you involved in any of the following academic activities? Please select all that apply. - Assessment work (e.g., redlisting, IPBES-type assessments, other assessments for governmental or other societal users, etc.);Are you involved in any of the following academic activities? Please select all that apply. - Science-policy interface work;Are you involved in any of the following academic activities? Please select all that apply. - Public outreach;Are you involved in any of the following academic activities? Please select all that apply. - Other;What is your gender? ;What parts of this workshop are you attending  - Day one;What parts of this workshop are you attending  - Analysis workshop;What parts of this workshop are you attending  - Education workshop;How are you attending the workshop? ;E-post;Samlet status - Ny;Samlet status - Distribuert;Samlet status - Noen svar;Samlet status - Gjennomført;Samlet status - Frafalt
"<p>For me, Open Science is 1) scientific data and results open for all the scientific community, without obligation to pay subscription fee for the journal of pay for particular scientific article (I am scientist/biologist in a poor country or country with low interest for science and ecology, whatever authorities would say) and (not mutually exclusive) 2) scientific data and results &quot;translated&quot; to common people, to overall community.</p>";I don?t know;I don?t know;I don?t know;Several times a year;I don?t know;Rarely;Several times a year;Several times a week;Several times a year;Rarely;;"<p>First, fees that should be payed for publishing in some Open Access journals. There are, however, other OA journals completely fee of charge, but they are often of low impact factor.&nbsp;</p><p>Second, I cannot put my data to be open access immediately &nbsp;after being collected&nbsp;because me and my students must use them for publishing scientific papers which will justify the funds we got from the funding source. However, many scientific journals, after accepting your paper, require original data of the study&nbsp;to be deposit in some of open access data bases.</p>";<p>When stared to think about climate change in my surroundings, it was difficult to get meteorological data because state agency asked to be payed for the data formation and export. Then, a US colleague found review paper with 50 authors where some were from my home country. They had to deposit in the journal data base a 50 years of meteorological data exactly from the locality we needed. So, thanks to that highly impacted open access peer reviewed journal, we found and used the data we needed so badly.</p>;"<p>As I mentioned, as a scientist from a country with low incomes in science, and even simple field work requires funding, I am more and more aware that must turn to use of accessible (free of charge) online ecological&nbsp;data bases.</p>";1;1;1;0;Very important;Not applicable to my work;Very important;Very important;Extremely important;Extremely important;Extremely important;<p>I am not familiar with the code sharing so I skipped this answer.</p>;Very important;Very important;Very important;Very important;Extremely important;Very important;Extremely important;;Very important;Extremely important;Extremely important;Extremely important;Extremely important;Very important;Extremely important;;1;1;0;0;0;0;0;1;Associate professor/ Professor;PhD;1997;1;1;0;1;0;0;0;1;0;1;1;1;0;female;0;1;1;Virtual;;0;0;0;1;0
;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;1;0;0
"<p>I don&#39;t have a succinct or thought out definition of open science. In my mind, two core concepts are relevant, 1)&nbsp;that the science is open for access, also by non-professionals that don&#39;t have traditional access to papers through a research institutions subscription, and&nbsp;2) that the science is open to scrutiny, which in most cases requires access to data or mock data and a sufficiently detailed description of the analysis steps, which in most cases means analysis scripts. Both these aspects should&nbsp;theoretically be satisfied in &quot;traditional science&quot;, but often is not, or is unfeasible in practice. Open science seems to have a lot to do with easing these two types of &quot;access&quot;.</p><p>I&#39;m sure there are other facets to the term. Maybe this will clear up after the workshop.</p><p>&nbsp;</p>";Rarely;Rarely;Rarely;Several times a year;Several times a week;Rarely;I don?t know;I don?t know;Never;Rarely;"""Use open code"" is ambiguous. Open source software in general or analysis algorithms authored by researchers?    Don't know what open education tools are. I use open software every day. I prefer to use it whenever I can.    I have access to most journals through work, so I'm not aware of when I read open papers.";"<p>It requires extra work, setting up the data access and tidying up scripts and writing documentation.</p><p>Hard to push as a co-author. My effort is to do it as a lead author or lead analysist.</p><p>It&#39;s a phycological barrier to reveal all the messiness behind the curtains.&nbsp;</p><p>&nbsp;</p>";<p>Practice in coding and choosing to use open source software. Routinely using Git. Getting (more and more) into the habit of writing scripts so that they could be read by anyone. That one is important. Learning how to write R-packages.</p>;<p>I (think) I agree with the philosophy behind the theme, and would like to improve and streamline the process.</p>;1;0;0;0;Very important;Very important;Very important;Very important;Somewhat important;Somewhat important;Very important;"<p>The research is probably not reproduced exactly as it was first performed&nbsp;as often as you&#39;d think.</p><p>I&#39;ve worked on datasets that have been to large to share, or not possible to share due to rights issues. You could create perhaps smaller fake datasets that lets anyone run through the steps of the analysis, without reproducing it exactly.&nbsp;</p><p>Sometimes we also work in databases where it&#39;s not so easy to share data and code. Well, that&#39;s not true. I guess I&#39;m just not used to it. I guess you could in principle share a database dump and database scripts.</p><p>&nbsp;</p>";;;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;Researcher (permanent);PhD;2011;0;0;0;1;0;0;0;1;1;1;0;0;0;Male;1;1;1;Physical;;0;0;0;1;0
<ul><li>Publishing Open Access</li><li>Sharing published data and/or raw data in open repositories</li><li>Sharing code</li></ul><p>These are the most important parts of open science to me and my research. However, I am aware that under the umbrella also open peer-review processes, open research funding processes, sharing laboratory journals, methods etc is becoming more important, to make the research process more transparent.</p>;Rarely;Rarely;Rarely;Several times a year;Several times a week;Rarely;Several times a year;Several times a week;Never;Several times a year;;<p>It is a slow transition to get other researchers in collaboration to choose OA journals over subscription journals, and to share datasets in open repositories. Also, time and funding is limited, so extra activity to do so is often not prioritized. Infrastructure is also limited or lacking, sharing data in e.g. NSD is useless if there is no standard metadata format and no requirement to follow protocols.</p>;<p>Knowing more about it through activities at the University libraries!</p>;<p>I need to know more to be able to do research support in this area. Also, working on my own ecology dataset at the moment, this is a good opportunity to do both.</p>;1;1;1;0;Very important;Extremely important;Somewhat important;Very important;Very important;Very important;Very important;<p>I think all of the above is important both to allow me to do good research, but also important for me personally to take part in with my research. I am lucky to have access to all the literature I need, open or not, so OA published papers are not that important for me to be able to do my own research. It is however much more important for me to publish my own research openly, both to increase its impact and to be of benefit to researchers that are not this lucky to have University libraries with the coverage that we have in Norway.</p>;Somewhat important;Somewhat important;Somewhat important;Somewhat important;Somewhat important;Somewhat important;Somewhat important;<p>Difficult to answer, because part of my teaching is to encourage other researchers and students to contribute to and use open research, so in that sense it is extremely important (or there would not be teaching...). But in the regular biology courses this is less important for the curriculum I have</p>;Very important;Very important;Somewhat important;Very important;Very important;Very important;Very important;;1;0;0;0;0;1;0;0;Researcher (temporary);PhD;2004;1;1;1;1;1;1;0;1;1;0;0;1;0;Female;1;1;1;Virtual;;0;0;0;1;0
<p>The sharing of scientific theory, data and results such that it can be accessed by anyone, and properly credited to those responsible for its creation.</p>;Several times a year;Several times a year;Several times a year;Several times a month ;Several times a week;Several times a year;Several times a week;Several times a week;Several times a year;Several times a week;;<p>Early stage of my career, limited opportunities for publishing of data and manuscripts.</p>;<p>Encouragement of supervisors and colleagues, intuitive open source tools.</p>;<p>Networking opportunities and the chance to learn more about an issue that Norway thankfully seems to take very seriously.</p>;1;0;0;0;Very important;Very important;Very important;Very important;Very important;Very important;Very important;;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;PhD-student;MSc;2016;1;1;0;0;0;1;0;1;0;0;0;1;0;Male;1;1;1;Both;;0;0;0;1;0
<p>Open, immediate, royalty-free access to:</p><ul><li>Publications</li><li>Data</li><li>Source code</li></ul><p>open science != FAIR science</p>;Several times a week;Several times a month ;Several times a year;Several times a week;Several times a week;Several times a year;Several times a month ;Several times a week;Never;Rarely;;"<ul><li>patenting considerations</li><li>PI concerns</li><li>lack of collaboration in projects on open science</li></ul><p>&nbsp;</p>";<ul><li>open access publication funds</li><li>established data deposition databases and sharing culture</li></ul>;<p>Gaining insights in FAIR DM in ecological research in Norway</p>;1;1;0;0;Extremely important;Extremely important;Very important;Extremely important;Somewhat important;Extremely important;Very important;;Extremely important;Extremely important;Very important;Extremely important;Somewhat important;Extremely important;Very important;;;;;;;;;;1;0;0;0;1;1;0;0;Other;PhD;2019;0;1;0;1;0;0;1;1;1;0;1;1;1;male;1;1;1;Physical;;0;0;0;1;0
<p>Open science is research and knowledge that is available to everyone, regardless of social or economic situation. Open science also includes access to data, where individual privacy, consent and security is paramount, transparency and replicability of methods and the use of data in these methods.</p>;Never;Several times a year;Several times a year;Several times a week;Several times a week;Several times a year;Never;Several times a week;Never;Never;;<p>NA</p>;<p>NA</p>;<p>Wanted to learn more about Living Norway and see how our organisation can contribute to its development.</p>;1;0;0;0;Somewhat important;Very important;Extremely important;Somewhat important;Somewhat important;Extremely important;Extremely important;;;;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;Researcher (temporary);PhD;2015;0;0;0;0;0;0;1;1;0;0;0;0;0;Male;1;1;1;Physical;;0;0;0;1;0
;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;1;0;0
<p>Scienctific publications and the data used (can be anonymised) should easily without costs be accessible through internet.</p>;Rarely;Rarely;Rarely;Rarely;Rarely;Several times a year;Several times a year;Several times a month ;Several times a year;Several times a year;;<p>Nothing actually but the understanding of what can be shared and not is not always easy to understand and therefore it is sometimes a bit problematic to publish total open as there might bbe constraints concerning the data used.</p>;<p>My nearest collegue/ neighbour office at work.</p>;"<p>It was offered and as I&#39;m engaged at work to be one of the persons that should have some more knowledge than others I think I need more input.</p>";1;0;1;0;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;;;;;;;;;;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;;0;1;0;0;0;1;0;0;Researcher (permanent);PhD;2001;0;0;0;1;0;0;0;0;1;1;1;0;0;female;1;1;0;Virtual;;0;0;0;1;0
"<p>transparency and&nbsp;reproducibility of research methods, adaptability of research methods and data for different purposes, access to knowledge and scientific processes.&nbsp;</p>";Rarely;Several times a year;Several times a year;Several times a year;Several times a week;Several times a year;Several times a week;Several times a week;Never;Several times a year;;"<p>Feeling inadequate in terms of coding ability - and being inadequate in coding ability (e.g. not knowing how to use github, and many of the resources I found to learn were written by geeks and not so intelligible, similarly it taking a few attempts before I could successfully build an R package). Also cost - for open access publishing. But mostly time - time to learn how to do things, learn about new databases, the extra time it takes to write metadata and document code properly.&nbsp;</p>";<p>Online resources that are well written for relative beginners. User friendly platforms (e.g. OSF) that allow integration of multiple people from multiple institutions, and multiple types of files.</p>;<p>I think I was coerced by my supervisor... and the opportunity to learn new tools and techniques in-person.</p>;1;0;0;0;Extremely important;Extremely important;Very important;Extremely important;Extremely important;Extremely important;Extremely important;"<p>I mostly work on trade-offs in environmental spheres, so this means potential conflict arenas. I need lots of data from different sources, many different modelling techniques, and I need my methods to be transparent and reproducible, to give validity to my modelling.&nbsp;</p>";;;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;Researcher (temporary);PhD;2015;0;0;0;1;0;0;0;1;1;0;0;0;0;Female;1;1;1;Physical;;0;0;0;1;0
