NO;s_3;s_4;s_45;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_46_1;s_46_2;s_46_3;s_46_4;s_16;s_17;s_50;s_18;s_19;s_20;s_21;s_22;s_23;s_51;s_24;s_25;s_26;s_27;s_28;s_29;s_52;s_30;s_31;s_32;s_33;s_36_1;s_36_2;s_36_3;s_36_4;s_36_5;s_37_1;s_37_2;s_37_3;s_38;s_39;s_40;s_41_1;s_41_2;s_41_3;s_41_4;s_41_5;s_41_6;s_41_7;s_49_1;s_49_2;s_49_3;s_49_4;s_49_5;s_49_6;s_43_1;s_43_2;s_43_3;s_44
3;5;4;3;5;5;3;4;5;1;2;1;1;0;0;5;5;4;5;3;5;4;5;5;4;5;3;5;4;;;;;;;;1;0;0;0;1;1;0;0;7;3;2019;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1
6;4;1;3;3;1;2;3;4;2;3;0;1;1;0;;;;;;;;5;2;4;3;4;3;5;5;2;4;3;4;4;4;0;1;0;0;0;0;1;0;7;4;2000;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;2
8;3;2;3;3;2;3;1;5;2;2;1;0;1;0;3;3;3;4;4;2;2;;;;;;;;1;2;2;4;3;1;1;0;1;0;0;0;1;0;0;3;4;2015;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1
9;3;3;3;1;2;3;6;5;6;2;1;0;0;0;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;7;4;2012;0;0;0;0;0;0;1;1;1;0;1;1;0;1;1;1;2
10;3;5;3;4;5;2;3;4;3;3;1;0;1;0;4;5;5;3;3;4;5;;;;;;;;4;5;4;3;3;5;5;1;0;0;0;0;0;0;1;4;3;2018;0;0;1;0;0;0;1;1;1;0;0;1;0;1;1;0;2
11;2;5;4;2;5;2;6;4;1;2;1;0;0;0;5;5;5;5;4;4;5;;;;;;;;;;;;;;;1;0;0;0;1;0;0;1;4;3;2003;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;1;2
15;2;2;2;2;1;1;2;3;1;1;1;0;0;0;1;1;1;1;1;1;1;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;7;2;2007;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;3
17;2;2;2;3;5;2;3;5;1;3;1;1;1;0;4;5;3;4;4;4;4;3;3;3;3;3;3;3;4;4;3;4;4;4;4;1;0;0;0;0;1;0;0;4;3;2004;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;1;2
18;1;3;3;2;1;1;5;5;1;5;1;1;1;0;3;3;4;5;5;5;5;4;4;4;5;5;5;5;4;4;5;5;5;5;5;1;0;0;0;0;0;0;1;6;3;2019;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;2
19;3;3;3;4;5;3;5;5;3;5;1;0;0;0;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;3;4;2016;1;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;3
